_id,ltable_id,rtable_id,label
362,conf/sigmod/HanKK97,253330,1
318,conf/sigmod/MeccaAMMS98,276375,1
432,conf/sigmod/PoosalaIHS96,233342,1
1798,conf/vldb/StaudtJ96,673479,1
1402,conf/vldb/DillKMRST01,672181,1
953,journals/sigmod/PoessF00,369291,1
2049,journals/vldb/LometS97,765558,1
1437,conf/vldb/NarayananS01,672213,1
1178,journals/sigmod/Bertram94,190631,1
1600,conf/vldb/NaumannLF99,671356,1
1459,conf/vldb/PardonA00,671860,1
918,journals/sigmod/ShethMKA01,604286,1
1399,conf/vldb/StillgerLMK01,672349,1
126,conf/sigmod/KornM00,335415,1
500,conf/sigmod/ChaudhuriDY95,223856,1
320,conf/sigmod/KiepuszewskiMO98,276379,1
825,journals/sigmod/dOnofrioP03,776990,1
404,conf/sigmod/ColbyGLMT96,233364,1
2141,journals/vldb/AbadiCCCCLSTZ03,950485,1
70,conf/sigmod/HristidisKP01,375690,1
1897,conf/vldb/AgrawalPWZ95,673157,1
237,conf/sigmod/BonnetBCCCHKMMOSS99,304583,1
334,conf/sigmod/BrinMUT97,253325,1
837,journals/sigmod/David03,640996,1
290,conf/sigmod/Miller98,276322,1
1737,conf/vldb/JagadishNSSK97,671013,1
233,conf/sigmod/RundensteinerCLCZNJLW99,304579,1
1919,conf/vldb/FuC94,672824,1
297,conf/sigmod/GibbonsM98,276334,1
681,conf/sigmod/DeshpandeNGS03a,872856,1
1679,conf/vldb/ShuklaDN98,671189,1
1179,journals/sigmod/ShinM94,190633,1
29,conf/sigmod/AfratiLU01,375705,1
1345,conf/vldb/Mohan01,672360,1
660,conf/sigmod/HeC03,872784,1
315,conf/sigmod/Chong98,276370,1
1150,journals/sigmod/PitouraB95,212015,1
420,conf/sigmod/ChaudhuriG96,233323,1
1011,journals/sigmod/JenningsNF98,306112,1
1573,conf/vldb/ChanI99,671365,1
1317,journals/tods/AikenHW95,202107,1
527,conf/sigmod/ThomasDM95,223892,1
567,conf/sigmod/IoannidisL94,191870,1
125,conf/sigmod/FaloutsosSTT00,335412,1
540,conf/sigmod/BilirisDGJR94,191848,1
1220,journals/tods/Jimenez-PerisPAK03,937601,1
589,conf/sigmod/LaursenOP94,191933,1
1758,conf/vldb/HuangJR97,670996,1
6,conf/sigmod/NazeriBO01,375743,1
195,conf/sigmod/AcharyaPR99,304184,1
1978,conf/vldb/YanA94,672964,1
685,conf/sigmod/ZhangDWEMPMDR03,872861,1
278,conf/sigmod/KornackerSH98,276384,1
1442,conf/vldb/SindoniTABFGMPPT01,672039,1
256,conf/sigmod/ChanI98,276336,1
596,conf/sigmod/Fernandez94,191947,1
722,conf/sigmod/KarbhariRXD02,564773,1
76,conf/sigmod/WhitneyS01,375783,1
1332,journals/tods/OliverS94,174640,1
1811,conf/vldb/FaloutsosMS96,673328,1
2019,journals/vldb/BonczK99,765511,1
55,conf/sigmod/BrunoCG01,375686,1
1241,journals/tods/AndriesCPB01,383735,1
175,conf/sigmod/Keim99,304219,1
1591,conf/vldb/Graefe99,671528,1
923,journals/sigmod/LabrinidisM01,603886,1
1813,conf/vldb/Suciu96a,673488,1
1107,journals/sigmod/BestavrosLS96,234897,1
327,conf/sigmod/CeriFP98,276390,1
2089,journals/vldb/OzsuPSILM95,615228,1
1472,conf/vldb/ManolescuFKXO00,671846,1
1429,conf/vldb/Duranti01,672214,1
784,journals/sigmod/PalpanasPKG03,959074,1
1255,journals/tods/GutingBEJLSV00,352963,1
711,conf/sigmod/ProcopiucJAM02,564739,1
95,conf/sigmod/MoonSL00,335428,1
1854,conf/vldb/GardarinGT95,673169,1
549,conf/sigmod/KrollW94,191891,1
1660,conf/vldb/RezendeH98,671194,1
811,journals/sigmod/Hellerstein03,945730,1
1722,conf/vldb/GoldmanW97,671008,1
1528,conf/vldb/AdiBEY00,671839,1
543,conf/sigmod/GibbsBT94,191856,1
1980,conf/vldb/ZemankovaI94,672998,1
550,conf/sigmod/ChristophidesACS94,191901,1
1965,conf/vldb/ChaudhuriS94,672834,1
2088,journals/vldb/AtkinsonM95,615226,1
2210,journals/sigmod/CaplinskasEV02,507367,1
1324,journals/tods/PolyzoisG94,185836,1
1594,conf/vldb/ShanmugasundaramGTZDN99,671499,1
161,conf/sigmod/ChakrabartiM99,304185,1
976,journals/sigmod/VassiliadisS99,344869,1
1740,conf/vldb/Jamil97,673648,1
1159,journals/sigmod/KokkotosIPS95,212014,1
2202,journals/sigmod/Badia02,637425,1
1267,journals/tods/Wijsen99,310715,1
1463,conf/vldb/YiF00,671689,1
343,conf/sigmod/YangM97,253361,1
568,conf/sigmod/ColeG94,191872,1
737,conf/sigmod/DattaDTVSR02,564703,1
1685,conf/vldb/Slutz98,671199,1
92,conf/sigmod/PopaDST00,335421,1
438,conf/sigmod/McAuliffeCS96,233355,1
1036,journals/sigmod/MusickM98,273249,1
213,conf/sigmod/LabioYG99,304216,1
284,conf/sigmod/RaoR98,276309,1
980,journals/sigmod/Abiteboul99,344853,1
959,journals/sigmod/ArpinarD00,362098,1
1334,journals/tods/CliffordC94,174642,1
1564,conf/vldb/KonigW99,671668,1
434,conf/sigmod/LiskovACDGGMMS96,233346,1
1944,conf/vldb/LevySSZ94,672972,1
182,conf/sigmod/KrishnamurthyBN99,304235,1
127,conf/sigmod/RodriguezR00,335413,1
56,conf/sigmod/Sahuguet01,375757,1
1903,conf/vldb/SistlaYLL95,673146,1
1154,journals/sigmod/AbiteboulH95,211994,1
1325,journals/tods/ChrysanthisR94,185843,1
1262,journals/tods/CasatiCPP99,328996,1
186,conf/sigmod/TrisoliniLN99,304569,1
1342,journals/tods/Ng01,502033,1
560,conf/sigmod/Jagadish94,191991,1
1771,conf/vldb/LabioG96,673477,1
2187,conf/sigmod/CareyDNAGS97,253283,1
2163,journals/vldb/ApersCS02,641269,1
1352,conf/vldb/StanoiRAA01,672207,1
1608,conf/vldb/CareyCNVDRSM99,671522,1
911,journals/sigmod/Barbara01,604266,1
1408,conf/vldb/AilamakiDHS01,672367,1
1942,conf/vldb/CochinwalaB94,672968,1
1363,conf/vldb/ManolopoulosT01,672358,1
816,journals/sigmod/KoubarakisTID03,945736,1
1411,conf/vldb/ShanmugasundaramKSFF01,672203,1
1752,conf/vldb/ChristodoulakisTZ97,671007,1
1482,conf/vldb/SchaeferBBJ00,671845,1
1511,conf/vldb/CowleyP00,671837,1
1731,conf/vldb/MalonM97,673642,1
585,conf/sigmod/SagonasSW94,191927,1
89,conf/sigmod/CorralMTV00,335414,1
1712,conf/vldb/HumborstadSHT97,671000,1
1109,journals/sigmod/Dogac96,234900,1
1778,conf/vldb/ViverosNR96,673464,1
282,conf/sigmod/TsurUACMNR98,276306,1
1067,journals/sigmod/RamamrithamS97,262769,1
1800,conf/vldb/SeshadriLR96,673634,1
248,conf/sigmod/KabraD98,276315,1
1916,conf/vldb/WienerN94,672979,1
1920,conf/vldb/OuzzaniAB94,672989,1
402,conf/sigmod/ChristophidesCM96,233358,1
518,conf/sigmod/Sheth95,223882,1
1992,journals/vldb/BraumandlKKKKSS01,767137,1
1934,conf/vldb/ChakravarthyKAK94,672994,1
177,conf/sigmod/CallanCD99,304224,1
1436,conf/vldb/CareyKRLABFLOPQRSSUVWY01,672199,1
1319,journals/tods/Jagadish95,202113,1
2027,journals/vldb/JiangE98,765538,1
1772,conf/vldb/McKennaBHT96,673476,1
516,conf/sigmod/Levine95,223878,1
1002,journals/sigmod/BergamaschiCV99,309897,1
468,conf/sigmod/BersonGM95,223852,1
2066,journals/vldb/KashyapS96,765855,1
2142,journals/vldb/ChakrabartiRS03,950488,1
42,conf/sigmod/GreenwaldK01,375670,1
1438,conf/vldb/CatozziR01,672210,1
203,conf/sigmod/AboulnagaC99,304198,1
1830,conf/vldb/Atal96,673322,1
15,conf/sigmod/FernandezMS01,375674,1
1639,conf/vldb/ZimbraoS98,671196,1
238,conf/sigmod/RoussopoulosKS99,304584,1
1356,conf/vldb/LuoN01,672041,1
27,conf/sigmod/ShahC01,375773,1
1642,conf/vldb/Vieille98,671336,1
626,conf/sigmod/SunAA03,872813,1
1787,conf/vldb/Padmanabhan96,673329,1
1315,journals/tods/Chomicki95,210200,1
1805,conf/vldb/Suciu96,673629,1
1022,journals/sigmod/CheungF98,290596,1
661,conf/sigmod/CohenM03,872787,1
1026,journals/sigmod/FlorescuLM98,290605,1
1056,journals/sigmod/ConradEHRSSSV97,271089,1
1211,journals/sigmod/Winslett94,181569,1
229,conf/sigmod/JarkeQBLMS99,304568,1
1176,journals/sigmod/Jarke95,202671,1
1230,journals/tods/CaldersNW02,581752,1
1062,journals/sigmod/HadzilacosT97,262766,1
1567,conf/vldb/RothOH99,671494,1
217,conf/sigmod/EmbleyJN99,304223,1
594,conf/sigmod/Pirahesh94,191941,1
1227,journals/tods/MayL02,582411,1
1586,conf/vldb/Hamilton99,671508,1
793,journals/sigmod/CalvaneseGLV03,959076,1
1088,journals/sigmod/AtkinsonDJPS96,245905,1
933,journals/sigmod/BiancheriPP01,373631,1
67,conf/sigmod/NgWY01,375666,1
732,conf/sigmod/Bonnet02,564790,1
386,conf/sigmod/LabioZWGGW97,253405,1
1320,journals/tods/GoldmanL94,195666,1
801,journals/sigmod/Hainaut03,959087,1
1298,journals/tods/DeyS96,232796,1
1652,conf/vldb/Shaw98,671169,1
916,journals/sigmod/ShahMFH01,604282,1
470,conf/sigmod/BrinDG95,223855,1
1248,journals/tods/Meo00,363956,1
652,conf/sigmod/SionAP03,872772,1
728,conf/sigmod/AgrawalCD02,564782,1
1005,journals/sigmod/RoantreeMH99,310066,1
1252,journals/tods/Bohm00,357776,1
166,conf/sigmod/GehrkeGRL99,304197,1
840,journals/sigmod/OConnellW03,640991,1
330,conf/sigmod/RoussopoulosKR97,253276,1
934,journals/sigmod/BunemanFSW01,373697,1
73,conf/sigmod/GehrkeKS01,375665,1
995,journals/sigmod/SouzaS99,310063,1
353,conf/sigmod/HoAMS97,253274,1
1374,conf/vldb/YangG01,672193,1
1346,conf/vldb/CherniackFZ01,672180,1
700,conf/sigmod/Grust02,564705,1
8,conf/sigmod/BohmBKK01,375714,1
672,conf/sigmod/ChaudhuriKN03,872831,1
2078,journals/vldb/SivasankaranSTPR96,765752,1
1530,conf/vldb/RamamrithamABEGP00,672007,1
848,journals/sigmod/GroskySF02,637420,1
2002,journals/vldb/FernandezFLS00,765222,1
676,conf/sigmod/LakshmananPZ03a,872843,1
2147,journals/vldb/ShethTP03,775454,1
1848,conf/vldb/KornackerB95,673305,1
792,journals/sigmod/GerlaX03,959073,1
1562,conf/vldb/ChakrabartiBD99,671523,1
744,conf/sigmod/GillmannWW02,564718,1
1266,journals/tods/DattaVCK99,310710,1
472,conf/sigmod/Hope95,223861,1
87,conf/sigmod/PalmerF00,335384,1
1937,conf/vldb/Lesk94,672830,1
1370,conf/vldb/GravanoIJKMS01,672200,1
824,journals/sigmod/GottlobKP03a,776988,1
1743,conf/vldb/BohannonLRSSS97,671017,1
1936,conf/vldb/MuntzR94,672820,1
576,conf/sigmod/ConsensM94,191898,1
1210,journals/sigmod/Gallagher94,181568,1
1733,conf/vldb/WildfogelY97,670998,1
2058,journals/vldb/IoannidisNSS97,765552,1
234,conf/sigmod/ZhouLP99,304580,1
317,conf/sigmod/Kennamer98,276373,1
1484,conf/vldb/Taylor00,671859,1
684,conf/sigmod/ZhouWGGZWXYF03,872860,1
1657,conf/vldb/BraumandlCK98,671341,1
1226,journals/tods/MelnikG03,762474,1
1687,conf/vldb/BonczRK98,671171,1
726,conf/sigmod/CranorGJSS02,564777,1
1142,journals/sigmod/VenkatraoP95,219763,1
1838,conf/vldb/Raghavan96,673463,1
36,conf/sigmod/MistryRSR01,375703,1
1921,conf/vldb/FrohnLU94,672988,1
1326,journals/tods/KorthS94,185854,1
530,conf/sigmod/HammerGIPUW95,223896,1
1366,conf/vldb/GalhardasFSSS01,672042,1
2022,journals/vldb/HarderST99,765516,1
1779,conf/vldb/SrivastavaDJL96,673627,1
891,journals/sigmod/ErdurD02,507349,1
931,journals/sigmod/TanakaV01,603879,1
1051,journals/sigmod/AtzeniMM97,271080,1
307,conf/sigmod/ClossmanSHKPB98,276352,1
326,conf/sigmod/Toyama98,276389,1
2047,journals/vldb/BerchtoldKK97,765566,1
577,conf/sigmod/Hellerstein94,191904,1
168,conf/sigmod/ChanI99,304201,1
1236,journals/tods/SchuldtABS02,507236,1
1711,conf/vldb/RothS97,670992,1
1738,conf/vldb/Huyn97,673644,1
223,conf/sigmod/Brown99,304236,1
1242,journals/tods/DekhtyarRS01,383736,1
803,journals/sigmod/AilamakiH03,945725,1
106,conf/sigmod/Weininger00,335465,1
991,journals/sigmod/YauLMS99,333612,1
199,conf/sigmod/BreitbartKRSS99,304191,1
683,conf/sigmod/ChoALS03,872859,1
1929,conf/vldb/ShatdalKN94,758363,1
1092,journals/sigmod/Ahlberg96,245893,1
1719,conf/vldb/HelmerM97,673667,1
871,journals/sigmod/MeltonMJKS02,601877,1
864,journals/sigmod/Neven02,601869,1
1592,conf/vldb/DarmontS99,671361,1
