_id,ltable_id,rtable_id,label
0,journals/sigmod/LabrinidisR00,335430,0
1,conf/vldb/CarusoCGLM00,671870,1
2,conf/vldb/Toivonen96,673325,1
3,conf/vldb/AilamakiDHS01,671662,0
4,conf/sigmod/BrunoC02,564722,1
5,conf/sigmod/AbiteboulCM95,765527,0
6,journals/sigmod/Bestavros96,381860,1
7,conf/vldb/GarofalakisOS97,758368,1
8,conf/vldb/StanoiRAA01,672207,1
9,conf/vldb/IoannidisP99,673638,0
10,conf/sigmod/ChenRW02,564771,1
11,journals/sigmod/Snodgrass03b,505049,0
12,conf/sigmod/FukudaMMT96a,671186,0
13,conf/sigmod/AdaliCPS96,765231,0
14,conf/sigmod/BilirisDGJR94,191848,1
15,conf/sigmod/Mohan96,280350,1
16,conf/vldb/PedersenJD00,671491,0
17,journals/sigmod/Nascimento03,362104,0
18,conf/sigmod/AdaliCPS96,233327,1
19,journals/sigmod/EisenbergM02,290604,0
20,conf/vldb/DingGS00,672013,1
21,conf/vldb/LahiriSCMC01,672377,1
22,journals/sigmod/RamDD99,333613,1
23,journals/sigmod/DadamK97,271096,1
24,conf/vldb/Jamil97,304192,0
25,journals/tods/LiC01,502032,1
26,conf/sigmod/IoannidisP95,671527,0
27,journals/vldb/FernandezFLS00,765222,1
28,conf/sigmod/ChaudhuriN98,564747,0
29,conf/vldb/BestavrosB95,673131,1
30,conf/vldb/Sterling98,671203,1
31,conf/vldb/CasatiDGS01,672190,1
32,journals/sigmod/Hainaut03,959087,1
33,conf/sigmod/Seshadri99,304226,1
34,conf/sigmod/GehrkeGRL99,304197,1
35,conf/sigmod/Amer-YahiaCLS01,872859,0
36,journals/sigmod/EisenbergM02,777002,0
37,conf/vldb/DeRose99,671670,1
38,journals/sigmod/BernsteinBCDFGGHHJLMNPSU98,306137,1
39,conf/vldb/ChawatheCY94,223813,0
40,conf/vldb/JagadishLS99,872859,0
41,journals/sigmod/ForteHWDCVHFS99,309870,1
42,journals/sigmod/BoucelmaCGJLL02,637431,1
43,conf/sigmod/FranklinZ98,673323,0
44,conf/vldb/AnciauxBBPV01,758380,0
45,journals/vldb/VaghaniRKSSLH94,615197,1
46,journals/tods/Hellerstein98,375739,0
47,journals/sigmod/BiancheriPP01,373631,1
48,journals/vldb/LandauST95,615233,1
49,journals/vldb/LinJF94,615210,1
50,journals/sigmod/MeltonMJKSZ01,373709,1
51,journals/vldb/OoiHLT96,672832,0
52,conf/vldb/DarEGP98,671325,1
53,journals/sigmod/Snodgrass03b,505055,0
54,journals/sigmod/MeltonMJKS02,373709,0
55,journals/sigmod/CampbellEM03,604280,0
56,journals/sigmod/CatarciC96,245888,1
57,conf/sigmod/GillmannWW02,564718,1
58,conf/sigmod/Ellison95,277954,1
59,journals/sigmod/MeltonE02,344819,0
60,journals/vldb/LometS97,765558,1
61,conf/sigmod/BreitbartKRSS99,304191,1
62,journals/sigmod/FernandezFLS97,262763,1
63,journals/sigmod/Qian95b,381901,0
64,journals/sigmod/FernandezFLS97,290605,0
65,journals/sigmod/GuptaHR97,673150,0
66,conf/vldb/EicklerKK97,253280,0
67,conf/vldb/LakshmiZ98,671200,1
68,conf/sigmod/HernandezS95,223807,1
69,conf/sigmod/AdaliBSS98,276340,1
70,journals/vldb/ChakrabartiRS03,950488,1
71,conf/vldb/Galindo-LegariaPK94,673661,0
72,conf/vldb/MuntzR94,672820,1
73,conf/sigmod/ParkCY95,304188,0
74,conf/vldb/GehrkeRG98,671330,1
75,journals/sigmod/EisenbergM00,637433,0
76,conf/sigmod/KanthAS98,276320,1
77,conf/sigmod/BraumandlKK99,304573,1
78,conf/vldb/RaghavanG01,672025,1
79,conf/sigmod/TomasicABKNR97,253402,1
80,journals/sigmod/MeltonE02,777002,0
81,conf/sigmod/BrunoCG01,375686,1
82,journals/sigmod/MeltonE02,290604,0
83,journals/tods/BaralisCP96,671524,0
84,conf/sigmod/ZhaoDN97,253288,1
85,conf/sigmod/FranklinZ98,276360,1
86,conf/vldb/DesslochM97,671012,1
87,conf/vldb/Mohan01,672360,1
88,conf/vldb/RothS97,670992,1
89,conf/vldb/BarjaPFWD94,672969,1
90,conf/sigmod/BrinMUT97,671027,0
91,journals/vldb/CatarciSC97,375771,0
92,conf/sigmod/StonebrakerH01,375739,1
93,journals/vldb/DanYC95,615216,1
94,conf/sigmod/ShenoyHSBBS00,335376,1
95,conf/vldb/CabreraRH95,673308,1
96,conf/sigmod/Al-KhalifaYJ03,872761,1
97,journals/sigmod/BunemanFSW01,373697,1
98,journals/vldb/SteinbrunnMK97,765556,1
99,conf/vldb/ChenCFGJMTW99,671496,1
100,conf/vldb/StaudtJ96,673479,1
101,journals/sigmod/TomasicS97,248606,1
102,conf/sigmod/FabretJLPRS01,672195,0
103,journals/tods/CiacciaTZ96,232755,1
104,journals/sigmod/LaenderRST02,565137,1
105,conf/vldb/EicklerKK97,304573,0
106,journals/sigmod/FengJH01,373691,1
107,conf/sigmod/SismanisDRK02,872786,0
108,conf/vldb/NaumannLF99,671356,1
109,conf/sigmod/LacroixSC98,276385,1
110,journals/sigmod/Abiteboul99,344853,1
111,journals/sigmod/Suciu01,507235,0
112,conf/sigmod/FlorescuLMS99,673654,0
113,conf/sigmod/Shasha97,253368,1
114,conf/sigmod/LiuPBHPT00,375762,0
115,conf/vldb/LinR98,671033,1
116,conf/vldb/SeegerBBKSDS01,672371,1
117,conf/sigmod/MaddenFHH03,604282,0
118,journals/sigmod/Chaudhri98,273247,1
119,journals/vldb/MecellaP01,767134,1
120,journals/sigmod/VassiliadisS99,344869,1
121,journals/sigmod/Snodgrass02,390004,0
122,journals/sigmod/EisenbergM02,945739,0
123,conf/sigmod/Jagadish94,604276,0
124,journals/tods/GoldmanL94,195666,1
125,journals/tods/ChenHM95,219039,1
126,conf/vldb/MalonM97,673642,1
127,journals/sigmod/PuSW01,373680,1
128,journals/tods/KossmannS00,352982,1
129,journals/tods/BozkayaO99,328959,1
130,journals/tods/Jagadish95,604276,0
131,conf/vldb/GyssensL97,872859,0
132,conf/sigmod/NgLK98,276364,1
133,conf/sigmod/DavisonG95,672821,0
134,conf/sigmod/ChaudhuriN98,304206,0
135,conf/vldb/AboulnagaAN01,672034,1
136,conf/sigmod/DobraGGR02,564699,1
137,journals/sigmod/SommerGB02,507343,1
138,conf/vldb/CatozziR95,673297,1
139,journals/vldb/GruserRZZ00,765221,1
140,conf/sigmod/Gray95,223864,1
141,conf/vldb/CherniackFZ01,233356,0
142,conf/sigmod/RajagopalanML98,276342,1
143,journals/sigmod/EisenbergM00,777002,0
144,conf/sigmod/ColeG94,210202,0
145,conf/sigmod/ChoG00,958945,0
146,conf/sigmod/Levine95,223878,1
147,conf/sigmod/ViglasN02,564697,1
148,journals/sigmod/FrankGGJKLMNPSSSTW99,333609,1
149,conf/sigmod/IpeirotisGS01,375671,1
150,journals/sigmod/ChangGKRS98,290607,1
151,conf/sigmod/WangCMSSZ94,335495,0
152,conf/vldb/HvasshovdTBH95,673136,1
153,conf/vldb/DeutschPT99,335421,0
154,conf/sigmod/ClaypoolRZSK01,375765,1
155,conf/vldb/McKennaBHT96,673476,1
156,conf/sigmod/JagadishJOT01,375687,1
157,conf/vldb/Bernstein94,273271,0
158,conf/vldb/AilamakiDHW99,641271,0
159,conf/vldb/KnorrN99,671529,1
160,journals/sigmod/BunemanLSTW94,181564,1
161,conf/vldb/Levy96,673332,1
162,conf/vldb/CochranePM96,673498,1
163,conf/sigmod/ChenWZ98,276392,1
164,conf/sigmod/SunAA03,375724,0
165,journals/sigmod/BergamaschiCV99,309897,1
166,journals/sigmod/Ulusoy95,219751,1
167,conf/vldb/FlorescuLS98,673654,0
168,journals/vldb/BonczK99,765565,0
169,conf/sigmod/HwangLYMMGCSS94,191986,1
170,journals/sigmod/ShethBS99,310067,1
171,conf/vldb/McHughW99,262770,0
172,conf/sigmod/Larson01,375792,1
173,journals/tods/Hellerstein98,277627,1
174,conf/vldb/ChanI99,671365,1
175,conf/sigmod/ChristophidesCM96,233358,1
176,journals/sigmod/BoulosO99,333610,1
177,conf/sigmod/LuMSS95,502031,0
178,conf/vldb/DeutschPT99,756643,1
179,journals/sigmod/EisenbergM00,290604,0
180,conf/sigmod/Jagadish94,202113,0
181,conf/vldb/Spintzik95,673162,1
182,journals/sigmod/Wedekind94,190628,1
183,conf/sigmod/Deutsch95,223880,1
184,journals/sigmod/MeltzerC98,306105,1
185,conf/sigmod/CookWZ94,191913,1
186,journals/sigmod/EisenbergM99a,945739,0
187,journals/vldb/TorpJS00,375678,0
188,conf/sigmod/Arpaci-DusseauACHP97,253322,1
189,conf/vldb/ZemankovaI94,672998,1
190,conf/sigmod/BaruGLMPVC99,304590,1
191,conf/sigmod/BlohsfeldKS99,304203,1
192,journals/tods/CeriFPT94,310064,0
193,conf/vldb/AbiteboulACEMM99,872793,0
194,journals/sigmod/RisheSBDOALOSS95,212019,1
195,journals/tods/MuralidharS99,331986,1
196,journals/sigmod/EisenbergM00,945739,0
197,conf/vldb/LeeL99,671868,0
198,conf/vldb/Rengarajan96,673499,1
199,journals/vldb/BerchtoldKK97,673502,0
200,conf/vldb/ScheuermannSV96,758367,1
201,journals/vldb/BerchtoldKK97,276353,0
202,journals/sigmod/EisenbergM99a,290604,0
203,journals/sigmod/CasatiDS00,767133,0
204,conf/vldb/ChoenniV00,672008,1
205,conf/vldb/OzdenGHNSDGGW01,672352,1
206,conf/sigmod/Lassettre98,276371,1
207,conf/sigmod/CandanLLHA01,375736,1
