_id,ltable_id,rtable_id,gold,ltable_title,ltable_authors,rtable_title,rtable_authors,similarity
37,l1165,r850,1,Won Kim,observations on the odmg-93 proposal,observations on the odmg-93 proposal for an object-oriented database language,Won Kim,0.4444444444444444
343,l546,r699,1,"Jennifer Widom, Mayur Datar, Shivnath Babu, Justin Rosenstein, Itaru Nishizawa, Arvind Arasu, Keith Ito, Brian Babcock",stream: the stanford stream data manager,stream: the stanford stream data manager (demonstration description),"Arvind Arasu, Brian Babcock, Shivnath Babu, Mayur Datar, Keith Ito, Itaru Nishizawa, Justin Rosenstein, Jennifer Widom",0.546875
242,l1645,r1466,1,"Gale Martin, Ray Shea, Tomasz Ksiezyk, Roberto J. Bayardo Jr., Marian H. Nodine, William Bohrer, Vipul Kashyap, C. Unnikrishnan, Richard S. Brice, Mosfeq Rashid, Amy Unruh, Abdelsalam Helal, Andrzej Cichocki, Marek Rusinkiewicz, Darrell Woelk, Jerry Fowler",infosleuth: semantic integration of information in open and dynamic environments (experience paper),infosleuth: agent-based semantic integration of information in open and dynamic environments,"R. J. Bayardo, Jr., W. Bohrer, R. Brice, A. Cichocki, J. Fowler, A. Helal, V. Kashyap, T. Ksiezyk, G. Martin, M. Nodine, M. Rashid, M. Rusinkiewicz, R. Shea, C. Unnikrishnan, A. Unruh, D. Woelk",0.6634615384615384
411,l1773,r224,1,Anil Nori,application architecture: 2tier or 3tier? what is dbms's role? (panel abstract),application architecture (panel session): 2tier or 3tier? what is dbms's role?,Anil K. Nori,0.6956521739130435
426,l28,r1618,1,Garth A. Gibson,storage technology: raid and beyond,tutorial on storage technology: raid and beyond,Garth A. Gibson,0.7
41,l1392,r1293,1,"Thin-Fong Tsuei, Allan Packer, Keng-Tai Ko",database buffer size investigation for oltp workloads (experience paper),database buffer size investigation for oltp workloads,"Thin-Fong Tsuei, Allan N. Packer, Keng-Tai Ko",0.7066666666666667
14,l595,r87,1,"Kyuseok Shim, Rajeev Rastogi, Minos N. Garofalakis, Sridhar Ramaswamy","of crawlers, portals, mice and men: is there more to mining the web? (panel)","of crawlers, portals, mice, and men: is there more to mining the web?","Minos N. Garofalakis, Sridhar Ramaswamy, Rajeev Rastogi, Kyuseok Shim",0.782051282051282
175,l209,r996,1,"Dimitrios Gunopulos, Aristides Gionis, Nick Koudas",efficient and tunable similar set retrieval,efficient and tumble similar set retrieval,"Aristides Gionis, Dimitrios Gunopulos, Nick Koudas",0.8541666666666666
422,l1332,r619,1,"Gottfried Vossen, Richard McClatchey",workshop on workflow management in scientific and engineering applications - report,workshop on workflow management in scientific and engineering applications-report,"R. McClatchey, G. Vossen",0.9058823529411765
23,l676,r1395,1,"Thomas Zurek, Markus Sinnwell",datawarehousing has more colours than just black & white,datawarehousing has more colours than just black &; white,"Thomas Zurek, Markus Sinnwell",0.9180327868852459
393,l1663,r935,1,"KianSing Ng, Huan Liu, HweeBong Kwah",a data mining application: customes retention at the port of singapore authority (psa),a data mining application: customer retention at the port of singapore authority (psa),"KianSing Ng, Huan Liu, HweeBong Kwah",0.9310344827586207
336,l58,r157,1,"Paolo Merialdo, Giansalvatore Mecca, Paolo Atzeni",semistructured und structured data in the web: going back and forth,semistructured and structured data in the web: going back and forth,"Paolo Atzeni, Giansalvatore Mecca, Paolo Merialdo",0.9333333333333333
25,l629,r1478,1,"Flix Saltor, Uwe Hohenstein, Ralf-Detlef Kutsche, Wilhelm Hasselbring, Gunter Saake, Stefan Conrad, Mark Roantree",engineering federated information systems: report of efis '99 workshop,engineering federated information systems: report of eefis '99 workshop,"S. Conrad, W. Hasselbring, U. Hohenstein, R.-D. Kutsche, M. Roantree, G. Saake, F. Saltor",0.9594594594594594
396,l838,r1729,1,Alexander A. Anisimov,"review of the data warehouse toolkit: the complete guide to dimensional modeling (2nd edition) by ralph kimball, margy ross. john wiley & sons, inc. 2002","review of the data warehouse toolkit: the complete guide to dimensional modeling (2nd edition) by ralph kimball, margy ross. john wiley & sons, inc. 2002.",Alexander A. Anisimov,0.9668874172185431
278,l1482,r1102,1,"Chung-Min Chen, Nick Roussopoulos",adaptive selectivity estimation using query feedback,adaptive selectivity estimation using query feedback,"Chungmin Melvin Chen, Nick Roussopoulos",1.0
255,l828,r1205,1,"Ugo Capuozzo, Elena Ferrari, Vijayalakshmi Atluri, Elisa Bertino, Nabil R. Adam",an authorization system for digital libraries,an authorization system for digital libraries,"E. Ferrari, N.R. Adam, V. Atluri, E. Bertino, U. Capuozzo",1.0
13,l1490,r599,1,Sriram Padmanabhan,extracting large data sets using db2 parallel edition,extracting large data sets using db2 parallel edition,Sriram Padmanabhan,1.0
236,l1279,r1224,1,Kenneth Moore,the lotus notes storage system,the lotus notes storage system,Kenneth Moore,1.0
237,l596,r1169,1,"Yannis Papakonstantinou, Vagelis Hristidis, Nick Koudas",prefer: a system for the efficient execution of multi-parametric ranked queries,prefer: a system for the efficient execution of multi-parametric ranked queries,"Vagelis Hristidis, Nick Koudas, Yannis Papakonstantinou",1.0
293,l759,r1749,1,C. Mohan,a survey and critique of advanced transaction models,a survey and critique of advanced transaction models,C. Mohan,1.0
235,l575,r1701,1,"Fabien De Marchi, Jean-Marc Petit, Farouk Toumani, Stphane Lopes",analysis of existing databases at the logical level: the dba companion project,analysis of existing databases at the logical level: the dba companion project,"Fabien De Marchi, Stéphane Lopes, Jean-Marc Petit, Farouk Toumani",1.0
234,l1705,r91,1,"David Maier, Peter Buneman",the data that you won't find in databases: tutorial panel on data exchange formats,the data that you won't find in databases: tutorial panel on data exchange formats,"Peter Buneman, David Maier",1.0
232,l430,r833,1,"Daniel S. Weld, Alon Y. Levy, Marc Friedman, Zachary G. Ives, Daniela Florescu",an adaptive query execution system for data integration,an adaptive query execution system for data integration,"Zachary G. Ives, Daniela Florescu, Marc Friedman, Alon Levy, Daniel S. Weld",1.0
238,l1066,r1774,1,"Surajit Chaudhuri, Umeshwar Dayal",an overview of data warehousing and olap technology,an overview of data warehousing and olap technology,"Surajit Chaudhuri, Umeshwar Dayal",1.0
295,l695,r390,1,Ugur etintemel,on the academic interview circuit: an end-to-end discussion,on the academic interview circuit: an end-to-end discussion,Uğur Çetintemel,1.0
352,l103,r782,1,Objectivity,objectivity industrial exhibit,objectivity industrial exhibit,Objectivity,1.0
324,l158,r1284,1,"Yufei Tao, Jun Zhang, Dimitris Papadias",cost models for overlapping and multiversion structures,cost models for overlapping and multiversion structures,"Yufei Tao, Dimitris Papadias, Jun Zhang",1.0
326,l538,r430,1,"Christian Convey, Sangdon Lee, Ugur etintemel, Daniel J. Abadi, Michael Stonebraker, Mitch Cherniack, Donald Carney, Stanley B. Zdonik, Nesime Tatbul",aurora: a new model and architecture for data stream management,aurora: a new model and architecture for data stream management,"Daniel J. Abadi, Don Carney, Ugur Çetintemel, Mitch Cherniack, Christian Convey, Sangdon Lee, Michael Stonebraker, Nesime Tatbul, Stan Zdonik",1.0
345,l852,r1146,1,David B. Lomet,the evolution of effective b-tree: page organization and techniques: a personal account,the evolution of effective b-tree: page organization and techniques: a personal account,David Lomet,1.0
229,l1022,r199,1,"Ramaraju Kalidindi, Vijay Kumar, Rajgopal Kannan, S. Sitharama Iyengar",energy and rate based mac protocol for wireless sensor networks,energy and rate based mac protocol for wireless sensor networks,"Rajgopal Kannan, Ram Kalidindi, S. S. Iyengar, Vijay Kumar",1.0
360,l602,r818,1,"Sergey Brin, Craig Silverstein, Rajeev Motwani, Jeffrey D. Ullman",scalable techniques for mining causal structures,scalable techniques for mining causal structures,"Craig Silverstein, Sergey Brin, Rajeev Motwani, Jeffrey D. Ullman",1.0
371,l650,r1594,1,"Bongki Moon, Quanzhong Li",indexing and querying xml data for regular path expressions,indexing and querying xml data for regular path expressions,"Quanzhong Li, Bongki Moon",1.0
